model,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_pai,min_intra_pai,macro_recall10,min_recall10,macro_ndcg,min_ndcg
M4a_salud,estafa,3762.0,0.8118268817522785,0.7053574217936578,0.38589332556106093,0.5950160303118625,0.9070595304187211,5.950160303118624,0.8295408370581064,0.6353468347030545,1.657903327080205,0.41233892694046725,0.4884328451887562,0.32325807795419514,0.8331840182198424,3.2325807795419514,39.0,,,,,,,,,,
M4a_salud,violencia_familiar_sexual,4212.0,0.8925942513942025,0.747401558017514,0.3310147252621326,0.521526385148685,0.9055912178052264,5.215263851486849,0.8067895763162558,0.580404211914458,1.39495072907195,0.6606640471279701,0.5858501879297384,0.3692433247550275,0.9007705600398709,3.692433247550275,41.0,,,,,,,,,,
M4a_salud,secuestro,3353.0,0.4039047909765304,0.3677506810408228,0.4307228915662651,0.6927710843373494,0.6696356702897609,6.927710843373493,0.6927710843373494,1.180769289390202,1.968204404706797,0.20689205209453654,0.239410034533048,0.32362686067129803,0.5577052007847171,3.23626860671298,34.0,,,,,,,,,,
M4a_salud,__macro__,,,,,,,,,,,,,,,,,0.45991246857536205,0.239410034533048,0.33551416848188886,0.28689584604179486,3.3551416848188884,2.8689584604179488,0.5725043094648624,0.487414099889557,0.8423386501895624,0.6696356702897609
M4b_seguridad,robo_hurto_callejero,4312.0,0.9078125466979827,0.7750926711902876,0.30765277948214503,0.485450668793717,0.8669588557253652,4.85450668793717,0.7507413118254063,0.7340164545560718,1.486891005335319,0.8364557378661354,0.594496362786708,0.3754831144849955,0.8829946329214173,3.754831144849955,41.0,,,,,,,,,,
M4b_seguridad,extorsion,3573.0,0.7746397106303669,0.6846860733475598,0.3264195851751105,0.5620537232233934,0.859480962020326,5.620537232233934,0.7713485767615493,0.837338811924065,1.831054410971197,0.4879904458170558,0.40636738747586404,0.2648744713411229,0.7565280057789726,2.6487447134112285,40.0,,,,,,,,,,
M4b_seguridad,estafa,3762.0,0.8097748841731196,0.702836094621302,0.3856018653453804,0.5951617604197027,0.9083594991132761,5.951617604197026,0.8297440065014221,0.6317947158105999,1.656307851920406,0.41147763312827246,0.4841904201544932,0.3267733163045235,0.8376313767300144,3.2677331630452353,39.0,,,,,,,,,,
M4b_seguridad,violencia_familiar_sexual,4212.0,0.8954963313156092,0.7539742162028417,0.32276399472869993,0.521640978628316,0.9041353160403678,5.21640978628316,0.8069668498493174,0.5823852173068885,1.3928361024673006,0.6608917029974656,0.584683622767374,0.3661892188584607,0.9003059274594347,3.661892188584606,41.0,,,,,,,,,,
M4b_seguridad,secuestro,3353.0,0.39063485469101017,0.35393785450361875,0.4246987951807229,0.677710843373494,0.672547113641182,6.77710843373494,0.677710843373494,1.178525185863062,1.9679736978672766,0.2067135005366051,0.24055722440374652,0.2935757097761573,0.5594977672111882,2.9357570977615732,34.0,,,,,,,,,,
M4b_seguridad,__macro__,,,,,,,,,,,,,,,,,0.4620590035176371,0.24055722440374652,0.32537916615305196,0.2648744713411229,3.2537916615305194,2.6487447134112285,0.5684035948877246,0.485450668793717,0.8422963493081035,0.672547113641182
